Date,Node,Value,Month_Of_Year,Region,Zone,State
1998-01-01 00:00:00,T,45151.071280099975,1,0,0,0
1998-01-01 00:00:00,A,17515.502379600006,1,0,0,1
1998-01-01 00:00:00,B,10393.618015699998,1,0,0,2
1998-01-01 00:00:00,C,8633.359046599999,1,0,0,3
1998-01-01 00:00:00,D,3504.3133462000005,1,0,0,4
1998-01-01 00:00:00,E,3121.6191894,1,0,0,5
1998-01-01 00:00:00,F,1850.7357735,1,0,0,6
1998-01-01 00:00:00,G,131.92352909999997,1,0,0,7
1998-01-01 00:00:00,AA,4977.2096105,1,0,1,1
1998-01-01 00:00:00,AB,5322.738721600001,1,0,2,1
1998-01-01 00:00:00,AC,3569.6213724000004,1,0,3,1
1998-01-01 00:00:00,AD,1472.9706096,1,0,4,1
1998-01-01 00:00:00,AE,1560.5142545,1,0,5,1
1998-01-01 00:00:00,AF,612.447811,1,0,6,1
1998-01-01 00:00:00,BA,3854.672582,1,0,7,2
1998-01-01 00:00:00,BB,1653.9957826000002,1,0,8,2
1998-01-01 00:00:00,BC,2138.7473162,1,0,9,2
1998-01-01 00:00:00,BD,1395.3775834,1,0,10,2
1998-01-01 00:00:00,BE,1350.8247515000005,1,0,11,2
1998-01-01 00:00:00,CA,6421.236419000001,1,0,12,3
1998-01-01 00:00:00,CB,828.4128890000001,1,0,13,3
1998-01-01 00:00:00,CC,1087.7879521000002,1,0,14,3
1998-01-01 00:00:00,CD,295.92178649999994,1,0,15,3
1998-01-01 00:00:00,DA,1497.8197687,1,0,16,4
1998-01-01 00:00:00,DB,905.0681003,1,0,17,4
1998-01-01 00:00:00,DC,580.701969,1,0,18,4
1998-01-01 00:00:00,DD,520.7235082,1,0,19,4
1998-01-01 00:00:00,EA,2568.1487667,1,0,20,5
1998-01-01 00:00:00,EB,263.5703417,1,0,21,5
1998-01-01 00:00:00,EC,289.900081,1,0,22,5
1998-01-01 00:00:00,FA,847.9735793,1,0,23,6
1998-01-01 00:00:00,FB,760.2926125000001,1,0,24,6
1998-01-01 00:00:00,FC,242.4695817,1,0,25,6
1998-01-01 00:00:00,GA,70.56055359999999,1,0,26,7
1998-01-01 00:00:00,GB,61.36297549999999,1,0,27,7
1998-01-01 00:00:00,AAA,3743.0561068,1,1,1,1
1998-01-01 00:00:00,AAB,1234.1535037,1,2,1,1
1998-01-01 00:00:00,ABA,1320.6748346000002,1,3,2,1
1998-01-01 00:00:00,ABB,4002.063887,1,4,2,1
1998-01-01 00:00:00,ACA,3569.6213724000004,1,5,3,1
1998-01-01 00:00:00,ADA,282.6135487,1,6,4,1
1998-01-01 00:00:00,ADB,277.2580087,1,7,4,1
1998-01-01 00:00:00,ADC,604.1673479,1,8,4,1
1998-01-01 00:00:00,ADD,308.93170430000004,1,9,4,1
1998-01-01 00:00:00,AEA,603.4201488,1,10,5,1
1998-01-01 00:00:00,AEB,602.8760321999999,1,11,5,1
1998-01-01 00:00:00,AEC,118.6071671,1,12,5,1
1998-01-01 00:00:00,AED,235.6109064,1,13,5,1
1998-01-01 00:00:00,AFA,612.447811,1,14,6,1
