Year,Month,T,A,B,C,D,E,F,G,AA,AB,AC,AD,AE,AF,BA,BB,BC,BD,BE,CA,CB,CC,CD,DA,DB,DC,DD,EA,EB,EC,FA,FB,FC,GA,GB,AAA,AAB,ABA,ABB,ACA,ADA,ADB,ADC,ADD,AEA,AEB,AEC,AED,AFA,BAA,BAB,BAC,BBA,BCA,BCB,BCC,BDA,BDB,BDC,BDD,BDE,BDF,BEA,BEB,BEC,BED,BEE,BEF,BEG,BEH,CAA,CAB,CAC,CBA,CBB,CBC,CBD,CCA,CCB,CCC,CDA,CDB,DAA,DAB,DAC,DBA,DBB,DBC,DCA,DCB,DCC,DCD,DDA,DDB,EAA,EAB,EAC,EBA,ECA,FAA,FBA,FBB,FCA,FCB,GAA,GAB,GAC,GBA,GBB,GBC,GBD
1998.0,1,45151.0712801,17515.5023796,10393.6180157,8633.3590466,3504.3133462,3121.6191894,1850.7357735,131.9235291,4977.2096105,5322.7387216,3569.6213724,1472.9706096,1560.5142545,612.447811,3854.672582,1653.9957826,2138.7473162,1395.3775834,1350.8247515,6421.236419,828.412889,1087.7879521,295.9217865,1497.8197687,905.0681003,580.701969,520.7235082,2568.1487667,263.5703417,289.900081,847.9735793,760.2926125,242.4695817,70.5605536,61.3629755,3743.0561068,1234.1535037,1320.6748346,4002.063887,3569.6213724,282.6135487,277.2580087,604.1673479,308.9317043,603.4201488,602.8760322,118.6071671,235.6109064,612.447811,2022.7225624,1393.359125,438.5908946,1653.9957826,489.297796,630.398434,1019.0510862,360.1828535,205.4237738,704.7698765,17.346197,82.5221266,25.132756,23.9569578,331.5141036,178.0434271,431.8680711,24.5760727,96.8998666,114.1513643,149.8148883,2173.2193035,2407.0902007,1840.9269148,230.5638972,170.3748032,301.4623199,126.0118687,203.5572567,386.934341,497.2963544,191.3297245,104.592062,1460.0113132,18.8435933,18.9648622,556.1624205,254.9663565,93.9393233,180.5479153,173.2869466,62.6477689,164.2193382,212.6744804,308.0490278,316.9559499,1482.385647,768.8071698,263.5703417,289.900081,847.9735793,228.702591,531.5900215,195.5124261,46.9571556,46.8480279,2.584923,21.1276027,22.1310265,19.7768704,9.1651715,10.2899071
1998.0,2,17294.699551,5880.3679184,3855.6478394,3580.051065,1321.2579922,1826.6106765,757.0797436,73.6843159,1937.2296111,1514.4315119,1066.8827696,435.3344004,455.2267924,471.262833,1900.7623579,342.7058871,584.7621432,522.4752648,504.9421864,2433.3131261,581.0129593,468.3521386,97.372841,524.8621631,345.8403748,173.4784501,277.0770042,1315.2185249,360.128887,151.2632646,227.8027035,407.3711451,121.905895,61.9590703,11.7252456,1691.6644359,245.5651752,610.9398317,903.4916802,1066.8827696,73.1086802,160.2386891,112.3288761,89.658155,148.4923012,174.9908081,51.9434112,79.8002719,471.262833,1448.6804577,312.8606215,139.2212787,342.7058871,142.7098108,243.5050688,198.5472636,130.6898229,38.1991054,110.2670016,154.161427,83.5063411,5.6515668,6.0839842,166.5628434,50.9674105,85.8036448,13.9023649,22.7025176,127.140201,31.77922,652.7402921,1302.9047819,477.6680521,217.8421382,72.7398617,109.3018675,181.1290919,72.5737094,218.7600065,177.0184227,95.194148,2.178693,492.1038906,32.7582725,0.0,113.0030271,219.8787485,12.9585992,24.1513061,51.9487529,27.6295605,69.7488306,154.3720916,122.7049126,95.3859321,849.3013623,370.5312305,360.128887,151.2632646,227.8027035,149.6244807,257.7466644,93.8828624,28.0230326,44.4561755,5.6873909,11.8155039,1.1998002,4.7060874,5.2964594,0.5228986
1998.0,3,20725.114184,7086.444392,4353.3792818,4717.6766633,1521.9500066,1868.3815303,900.7966217,276.4856883,2117.671851,1683.2091679,1179.8472561,754.3370299,921.1802716,430.1988155,1734.9467085,438.0151192,651.9720341,886.6145125,641.8309075,3238.1051214,486.4249289,545.851888,447.294725,858.6898549,319.3980385,129.8280482,214.034065,1545.3116576,87.3038868,235.7659859,518.5334286,239.2267905,143.0364026,254.2276835,22.2580048,1874.1468753,243.5249757,497.9122262,1185.2969417,1179.8472561,155.6462828,189.2144545,275.2003543,134.2759383,331.872048,369.7435239,114.009915,105.5547847,430.1988155,1393.4740382,225.4974793,115.975191,438.0151192,183.016979,283.0451146,185.9099405,312.5318273,167.2635995,243.1889093,43.5923377,95.1412301,24.8966086,20.6517643,177.8750516,74.912257,112.950383,4.4379838,72.9905734,105.2135775,72.7993169,918.0142488,1588.1252242,731.9656484,122.2431646,70.0915062,171.340926,122.7493321,41.1299108,212.7923545,291.9296227,400.1598347,47.1348903,834.7616069,20.3786571,3.5495909,123.4270947,159.1337668,36.837177,20.8340575,48.0034393,15.6783218,45.3122296,52.5652429,161.4688221,82.3087076,742.7215505,720.2813995,87.3038868,235.7659859,518.5334286,69.4376249,169.7891656,114.0671937,28.9692089,204.1274031,17.2472617,32.8530187,3.9733555,0.8894534,17.3951959,0.0
1998.0,4,25388.6123531,10530.6393482,5115.8655305,4924.5752039,1813.4391768,1952.6124655,801.4441403,250.0364879,2615.9574655,3634.6300489,1072.5707809,1019.7018727,1688.6537129,499.1254673,1692.9330502,533.1466229,873.6680829,983.8734188,1032.2443557,3088.2362734,758.6571228,722.2948285,355.3869792,874.6642818,296.4108727,319.4740723,322.88995,1556.8235714,114.3914422,281.3974519,383.3111079,255.8556845,162.2773479,179.062095,70.9743929,2206.4634718,409.4939937,1597.0842769,2037.545772,1072.5707809,190.0935525,324.9505211,332.2069153,172.4508838,631.8148113,455.4772252,424.5962304,176.765446,499.1254673,1244.7709452,186.5356664,261.6264386,533.1466229,348.4885795,413.6179882,111.5615152,232.1915315,91.7866394,406.4504138,103.12697,107.368038,42.9498261,51.4278542,419.4137686,101.2701357,130.7009427,51.309828,59.8642843,81.0444017,137.2131405,1074.4844449,1083.413409,930.3384195,197.163231,84.3795755,193.6754727,283.4388436,237.4840554,139.2271674,345.5836057,280.3445637,75.0424155,831.4529777,24.0203289,19.1909752,136.0080584,157.4159706,2.9868437,36.0516516,147.7629693,39.7316196,95.9278318,135.5541417,187.3358083,270.0092548,705.5714176,581.242899,114.3914422,281.3974519,383.3111079,104.3717199,151.4839646,119.7101157,42.5672322,148.2086694,25.4979046,5.355521,0.0,15.282432,42.4218677,13.2700932
1998.0,5,20330.0352107,7430.3735585,3820.6664259,4219.2836468,1375.0820953,2616.9653166,551.3770585,316.2871091,2393.1455115,1610.0047741,927.2697264,1051.3358277,1110.300246,338.3174728,1763.8638993,235.4077991,533.7534377,694.9946291,592.6466607,2255.1951361,856.6746033,683.3636888,424.0502186,751.336899,226.845505,229.0250755,167.8746158,1304.8853109,1163.8770273,148.2029784,246.0792039,229.1816431,76.1162115,200.8623173,115.4247918,2161.1171212,232.0283903,543.0018907,1067.0028834,927.2697264,203.5765538,264.5472931,232.0528885,351.1590923,341.4147882,388.8828504,231.7428939,148.2597135,338.3174728,1451.2566229,183.1389775,129.4682989,235.4077991,257.1120347,163.807143,112.83426,138.0748996,86.5383288,314.3594099,32.0326899,72.4789038,51.5103971,44.2569184,170.4063795,72.4009095,121.325453,68.073809,25.4121525,48.5802715,42.1907673,619.891028,940.6056172,694.6984909,393.16701,216.0407484,118.3859567,129.0808882,135.4015386,143.797503,404.1646472,279.2360838,144.8141348,552.2642882,67.7066336,131.3659772,110.5486129,105.8432242,10.4536679,18.5180854,56.3411212,32.1971878,121.9686811,64.3879663,103.4866495,232.3071626,721.3413698,351.2367785,1163.8770273,148.2029784,246.0792039,49.3737219,179.8079212,59.26495,16.8512615,115.7863956,63.965084,21.1108377,2.6285722,19.8779641,92.9182555,0.0
1998.0,6,18237.5540208,5983.9385205,3335.5192783,4872.259012,1203.8095999,1443.9420906,604.0398202,794.0456993,1935.8527216,1827.3614127,442.2712818,914.0095139,628.1491859,236.2944046,1694.8470926,175.0400061,372.9474571,503.4211638,589.2635587,2428.6450791,789.7108657,840.102377,813.8006902,479.5135709,185.2204966,391.2224932,147.8530392,1150.4695195,188.0482097,105.4243614,241.7418435,222.0663494,140.2316273,647.6132731,146.4324262,1746.2674334,189.5852882,507.1174519,1320.2439608,442.2712818,149.6559209,166.3893186,271.5291275,326.4351469,237.3185107,204.5592036,93.3452446,92.926227,236.2944046,1391.9087123,210.6360279,92.3023524,175.0400061,128.7647986,87.3441066,156.8385519,124.8390207,150.7492025,209.2281236,10.092458,4.4144662,4.0978928,54.9963481,72.2624257,40.485531,220.8874746,12.1878704,43.630584,88.4470843,56.3662406,959.6408132,937.9476929,531.056573,363.6038954,99.346704,233.3536453,93.406621,149.6899869,364.3778377,326.0345524,538.2593113,275.5413789,413.2855045,66.2280664,0.0,66.9629362,118.2575604,0.0,63.4254404,78.2588862,32.063459,217.4747076,85.2699047,62.5831345,139.3815959,726.9230247,284.1648989,188.0482097,105.4243614,241.7418435,81.836602,140.2297474,129.7874308,10.4441965,239.6910135,157.4132513,250.5090083,11.7504925,53.9964655,75.62887,5.0565982
1998.0,7,23005.28668,7422.9831352,3932.8742408,6170.316085,1596.6741927,2600.5469371,423.6589189,858.2331703,2610.0953005,1678.8347037,692.9377794,1074.9261531,995.6347149,370.5544836,1847.9253223,228.3560225,445.6538606,801.9834375,608.9555979,3797.7229451,1105.4916581,786.4852359,480.6162459,901.9375517,281.7344606,304.7499753,108.2522051,1767.6700315,512.5854686,320.291437,270.9054088,89.8082811,62.945229,590.5613843,267.671786,2324.044298,286.0510025,559.5441471,1119.2905566,692.9377794,607.5272207,143.3692961,220.7850106,103.2446257,377.8832817,226.8125157,123.0953627,267.8435548,370.5544836,1514.2542517,203.5741302,130.0969404,228.3560225,214.7092891,207.7676959,23.1768756,131.6949019,208.1951493,354.240808,55.2786589,42.3599987,10.2139207,27.9113065,192.2145211,52.9397128,93.564065,0.0,51.4303005,100.6606972,90.2349948,1471.9335439,1246.9931199,1078.7962813,335.7866905,306.8858637,269.4897782,193.3293257,43.1936971,158.0248213,585.2667175,322.1228344,158.4934115,856.6595518,22.4280428,22.8499571,111.1438327,161.3514404,9.2391875,44.829349,45.1701758,1.6504415,213.100009,77.619968,30.6322371,455.7913907,984.3727831,327.5058577,512.5854686,320.291437,270.9054088,24.5994163,65.2088648,57.219607,5.725622,453.5598064,33.5887471,103.4128308,24.3200835,24.717557,190.2976051,28.3365404
1998.0,8,23032.5041925,6932.7358631,3409.275109,6972.5687029,1171.5614296,2210.2170828,315.832445,2020.3135601,2406.0698343,1326.1950758,620.7997963,1289.1064487,915.9712922,374.5934158,1588.6396773,238.4027301,360.0739563,683.9778414,538.1809039,3342.2461496,818.1479871,2056.209135,755.9654312,639.5381665,122.1704565,177.9269353,231.9258713,1591.1404597,420.8092688,198.2673543,105.0440462,144.0474186,66.7409802,1771.8954692,248.4180909,2161.7749265,244.2949078,408.0017914,918.1932844,620.7997963,570.2506152,107.3831653,317.9833968,293.4892714,320.7542392,316.9670184,150.4515914,127.7984432,374.5934158,1327.3330694,138.7303816,122.5762263,238.4027301,104.7992653,178.3962263,76.8784647,52.2099496,48.9592968,478.8121397,23.9382149,44.1778413,35.8803991,45.0985188,205.5905973,38.4647688,44.8147729,22.3797499,63.5282289,43.5662545,74.7380128,1278.2371853,1218.8542025,845.1547618,257.5553741,66.5445656,280.4849756,213.5630718,187.0786822,712.8707742,1156.2596786,313.1677523,442.7976789,620.7131406,15.7154698,3.1095561,69.0537449,27.4340349,25.6826767,16.9579031,59.8913175,35.009526,66.0681887,86.116134,145.8097373,354.2966562,892.1879013,344.6559022,420.8092688,198.2673543,105.0440462,41.9851325,102.0622861,41.2851578,25.4558224,725.3320179,973.3572333,73.206218,66.1882976,42.0059759,100.8919665,39.3318509
1998.0,9,22483.4943611,6452.4427956,3741.0413127,7962.176333,1250.8012025,2204.8467758,368.3398052,503.8461363,1834.6465581,1665.2013273,614.3152578,900.3014382,988.7278073,449.2504069,1790.2420816,273.4156048,530.3100977,639.1562472,507.9172814,4200.4275036,1220.874044,1763.7376639,777.1371215,692.9966075,98.7252866,362.1392504,96.940058,1602.263936,295.1410128,307.441827,176.9444777,102.705275,88.6900525,322.0186903,181.827446,1780.0442276,54.6023305,500.4375034,1164.7638239,614.3152578,218.0629469,73.4527671,347.8073041,260.9784201,446.3842213,356.8730291,59.4863819,125.984175,449.2504069,1571.6270099,100.9898501,117.6252216,273.4156048,217.6164222,222.0359847,90.6576908,104.3362219,168.1145047,287.050285,33.2263832,44.3394186,2.0894338,14.1524884,182.8431208,51.7603923,80.6673323,18.9457581,20.7170183,71.2150225,67.6161487,1844.3068053,1225.6403014,1130.4803969,299.104124,307.8419277,238.5549599,375.3730324,199.8037612,239.2689948,1324.6649079,400.1495454,376.9875761,645.2538063,35.3222982,12.420503,60.0679857,27.5704898,11.0868111,40.5059039,70.4738672,16.4284934,234.7309859,48.7017675,48.2382905,586.9668969,758.8229884,256.4740507,295.1410128,307.441827,176.9444777,46.9039907,55.8012843,72.0700839,16.6199686,262.8760454,20.799874,38.3427709,21.9655866,61.4275048,96.38515,2.0492046
1998.0,10,24844.9244129,8832.4829738,4251.456392,6100.3910777,1656.8271688,2569.7870538,633.2210093,800.7587375,2385.6963783,2678.8909852,928.9172047,869.145043,1452.4268892,517.4064734,1989.417795,442.1403741,465.071676,538.3696993,816.4568476,3355.6603883,1125.0297302,1090.906081,528.7948782,529.644004,253.4439674,674.7607682,198.9784292,1994.5735714,265.2998655,309.9136169,251.9285461,244.9212415,136.3712217,407.1734625,393.585275,2175.6015075,210.0948708,465.7724711,2213.1185141,928.9172047,177.4898814,260.3338957,263.5232176,167.7980483,588.1478849,245.4173132,367.8978842,250.9638069,517.4064734,1639.562598,275.2255581,74.6296389,442.1403741,170.7728806,158.6332699,135.6655255,181.6962285,75.0451148,157.3262719,50.5139503,36.4794986,37.3086352,9.410005,190.1341485,77.9587669,198.4705564,46.0883281,33.4668015,117.8021351,143.1261061,1128.7859277,1259.9107962,966.9636644,404.7128481,86.6684884,139.9670376,493.6813561,348.2654347,144.605701,598.0349453,237.2071888,291.5876894,464.8421146,53.1041333,11.6977561,101.8315677,139.6978187,11.914581,116.0751996,151.6175538,35.2560951,371.8119197,81.7330036,117.2454256,316.8464096,1055.9943307,621.7328311,265.2998655,309.9136169,251.9285461,56.5033482,188.4178933,102.0301143,34.3411074,371.4056736,12.4849099,23.282879,19.1777355,70.765975,263.3428741,40.2986904
